customer,cust_degree,cust_pagerank,cust_community,merchant,mer_degree,mer_pagerank,mer_community
C1000148617,14,0.15,43,M1053599405,2829,32.429804,4
C100045114,22,0.15,42,M117188757,20,0.347098,24
C1000699316,10,0.15,5,M1198415165,1010,10.5749185,20
C1001065306,11,0.15,7,M1294758098,146,1.433058,41
C1002658784,17,0.15,42,M1313686961,483,5.4519855,34
C1002759277,10,0.15,44,M1352454843,340,3.915993,23
C1004109477,14,0.15,40,M1353266412,66,0.736517,31
C1004300450,15,0.15,42,M1400236507,682,7.731745,40
C1004532392,5,0.15,15,M1416436880,193,2.173935,47
C1005126300,8,0.15,42,M151143676,2728,31.4562905,9
C1005495267,10,0.15,40,M1535107174,1033,10.9943935,12
C1005806982,9,0.15,7,M1600850729,1962,22.5115025,36
C1006176917,12,0.15,43,M1649169323,952,10.5988545,27
C1007572087,15,0.15,44,M1726401631,3,0.181671,49
C1007790716,7,0.15,5,M17379832,227,2.179749,26
C1008918174,16,0.15,42,M1741626453,432,4.4774435,11
C1009080922,8,0.15,5,M1748431652,208,2.167509,21
C100992504,9,0.15,42,M1788569036,151,1.7784215,46
C10105795,13,0.15,40,M1823072687,3573,41.3797005,1
C1010589026,10,0.15,42,M1842530320,730,8.423917,32
C1010865894,13,0.15,43,M1872033263,488,5.514588,37
C1010936270,10,0.15,44,M1873032707,200,1.983127,17
C1011693897,11,0.15,44,M1888755466,668,6.901754,3
C1012876398,9,0.15,7,M1913465890,1914,21.844567,42
C1013199152,15,0.15,42,M1946091778,2674,30.7099055,28
C1013313546,16,0.15,42,M2011752106,200,1.9794635,18
C1014010834,12,0.15,43,M2080407379,47,0.546083,45
C1014124305,10,0.15,5,M209847108,2162,24.249557,15
C1014313887,11,0.15,44,M2122776122,276,2.8296165,16
C1014347664,13,0.15,5,M348875670,99,1.1966815,8
C1014783484,6,0.15,5,M348934600,3929,46.5287965,0
C1014847580,10,0.15,40,M349281107,1884,21.2594355,14
C1017469037,13,0.15,46,M3697346,231,2.2237195,38
C1017941602,13,0.15,42,M45060432,521,5.9087585,43
C1018153896,9,0.15,41,M480139044,1324,14.036365,6
C1018388493,9,0.15,42,M495352832,69,0.803922,39
C1018653381,11,0.15,42,M50039827,600,6.601891,2
C1018783569,14,0.15,42,M547558035,619,6.847507,25
C1018979501,15,0.15,5,M677738360,348,4.0456095,33
C1019071188,12,0.15,5,M692898500,549,6.1254575,7
